Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
galaxy-watch6-44mm,Galaxy Watch6 44mm,"<p>Slim Wear OS smartwatch with advanced sleep and body tracking.</p><table><tbody><tr><th>Case</th><td>44mm aluminium</td></tr><tr><th>Display</th><td>1.5"" Super AMOLED</td></tr><tr><th>Chip</th><td>Exynos W930</td></tr><tr><th>Health</th><td>BIA, ECG, sleep coaching</td></tr><tr><th>Battery</th><td>425mAh</td></tr><tr><th>OS</th><td>Wear OS</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;289.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;249.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Samsung,Smartwatch,"Watches, Samsung, Smartwatch",TRUE,Title,Default Title,SHK-W-023,shopify,25,deny,manual,289.00,319.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Galaxy+Watch6+44mm,Galaxy Watch6 44mm,FALSE,Galaxy Watch6 44mm | Shak Distributors,Slim Wear OS smartwatch with advanced sleep and body tracking.,active
huawei-watch-gt4-46mm,Huawei Watch GT4 46mm,"<p>Up to 14 days battery with elegant design and rich fitness tracking.</p><table><tbody><tr><th>Case</th><td>46mm stainless steel</td></tr><tr><th>Display</th><td>1.43"" AMOLED</td></tr><tr><th>Health</th><td>TruSeen 5.5+, SpO2, sleep</td></tr><tr><th>Battery</th><td>Up to 14 days</td></tr><tr><th>GPS</th><td>Dual-band</td></tr><tr><th>Water</th><td>5ATM</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;229.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;199.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Huawei,Smartwatch,"Watches, Huawei, Smartwatch",TRUE,Title,Default Title,SHK-W-024,shopify,25,deny,manual,229.00,259.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Huawei+Watch+GT4+46mm,Huawei Watch GT4 46mm,FALSE,Huawei Watch GT4 46mm | Shak Distributors,Up to 14 days battery with elegant design and rich fitness tracking.,active
macbook-air-13-m3-256gb,"MacBook Air 13"" M3 256GB","<p>Strikingly thin, fanless laptop with all-day battery and the M3 chip.</p><table><tbody><tr><th>Display</th><td>13.6"" Liquid Retina</td></tr><tr><th>Chip</th><td>Apple M3 8-core</td></tr><tr><th>Memory</th><td>8GB unified</td></tr><tr><th>Storage</th><td>256GB SSD</td></tr><tr><th>Battery</th><td>Up to 18h</td></tr><tr><th>Ports</th><td>2x TB, MagSafe, headphone</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;1,099.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;975.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Laptop,"MacBooks, Apple, Laptop",TRUE,Title,Default Title,SHK-M-025,shopify,25,deny,manual,1099.00,1149.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=MacBook+Air+13%22+M3+256GB,"MacBook Air 13"" M3 256GB",FALSE,"MacBook Air 13"" M3 256GB | Shak Distributors","Strikingly thin, fanless laptop with all-day battery and the M3 chip.",active
macbook-air-15-m2-256gb,"MacBook Air 15"" M2 256GB","<p>Big-screen Air with spacious Liquid Retina display and silent design.</p><table><tbody><tr><th>Display</th><td>15.3"" Liquid Retina</td></tr><tr><th>Chip</th><td>Apple M2 8-core</td></tr><tr><th>Memory</th><td>8GB unified</td></tr><tr><th>Storage</th><td>256GB SSD</td></tr><tr><th>Battery</th><td>Up to 18h</td></tr><tr><th>Audio</th><td>6-speaker system</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;1,199.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;1,059.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Laptop,"MacBooks, Apple, Laptop",TRUE,Title,Default Title,SHK-M-026,shopify,25,deny,manual,1199.00,1299.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=MacBook+Air+15%22+M2+256GB,"MacBook Air 15"" M2 256GB",FALSE,"MacBook Air 15"" M2 256GB | Shak Distributors",Big-screen Air with spacious Liquid Retina display and silent design.,active
macbook-pro-14-m3-512gb,"MacBook Pro 14"" M3 512GB","<p>Pro performance with a stunning Liquid Retina XDR display.</p><table><tbody><tr><th>Display</th><td>14.2"" Liquid Retina XDR 120Hz</td></tr><tr><th>Chip</th><td>Apple M3</td></tr><tr><th>Memory</th><td>8GB unified</td></tr><tr><th>Storage</th><td>512GB SSD</td></tr><tr><th>Battery</th><td>Up to 22h</td></tr><tr><th>Ports</th><td>3x TB4, HDMI, SDXC</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;1,699.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;1,519.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Laptop,"MacBooks, Apple, Laptop",TRUE,Title,Default Title,SHK-M-027,shopify,25,deny,manual,1699.00,1799.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=MacBook+Pro+14%22+M3+512GB,"MacBook Pro 14"" M3 512GB",FALSE,"MacBook Pro 14"" M3 512GB | Shak Distributors",Pro performance with a stunning Liquid Retina XDR display.,active
macbook-pro-16-m3-max-1tb,"MacBook Pro 16"" M3 Max 1TB","<p>The ultimate MacBook Pro for studios and power users.</p><table><tbody><tr><th>Display</th><td>16.2"" Liquid Retina XDR 120Hz</td></tr><tr><th>Chip</th><td>Apple M3 Max</td></tr><tr><th>Memory</th><td>36GB unified</td></tr><tr><th>Storage</th><td>1TB SSD</td></tr><tr><th>Battery</th><td>Up to 22h</td></tr><tr><th>Ports</th><td>3x TB4, HDMI, SDXC</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;3,499.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;3,149.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Laptop,"MacBooks, Apple, Laptop",TRUE,Title,Default Title,SHK-M-028,shopify,25,deny,manual,3499.00,3699.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=MacBook+Pro+16%22+M3+Max+1TB,"MacBook Pro 16"" M3 Max 1TB",FALSE,"MacBook Pro 16"" M3 Max 1TB | Shak Distributors",The ultimate MacBook Pro for studios and power users.,active
dell-xps-13-i7-16gb-512gb,"Dell XPS 13 (i7, 16GB, 512GB)","<p>Premium ultraportable with an edge-to-edge InfinityEdge display.</p><table><tbody><tr><th>Display</th><td>13.4"" FHD+ InfinityEdge</td></tr><tr><th>CPU</th><td>Intel Core i7</td></tr><tr><th>Memory</th><td>16GB</td></tr><tr><th>Storage</th><td>512GB SSD</td></tr><tr><th>Graphics</th><td>Intel Iris Xe</td></tr><tr><th>OS</th><td>Windows 11</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;1,299.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;1,149.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Dell,Laptop,"Laptops, Dell, Laptop",TRUE,Title,Default Title,SHK-L-029,shopify,25,deny,manual,1299.00,1399.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Dell+XPS+13+%28i7%2C+16GB%2C+512GB%29,"Dell XPS 13 (i7, 16GB, 512GB)",FALSE,"Dell XPS 13 (i7, 16GB, 512GB) | Shak Distributors",Premium ultraportable with an edge-to-edge InfinityEdge display.,active
hp-spectre-x360-14-i7-16gb-1tb,"HP Spectre x360 14 (i7, 16GB, 1TB)","<p>Convertible 2-in-1 with OLED touch display and premium build.</p><table><tbody><tr><th>Display</th><td>14"" 2.8K OLED touch</td></tr><tr><th>CPU</th><td>Intel Core i7</td></tr><tr><th>Memory</th><td>16GB</td></tr><tr><th>Storage</th><td>1TB SSD</td></tr><tr><th>Form</th><td>2-in-1 convertible</td></tr><tr><th>OS</th><td>Windows 11</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;1,399.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;1,249.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",HP,Laptop,"Laptops, HP, Laptop",TRUE,Title,Default Title,SHK-L-030,shopify,25,deny,manual,1399.00,1499.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=HP+Spectre+x360+14+%28i7%2C+16GB%2C+1TB%29,"HP Spectre x360 14 (i7, 16GB, 1TB)",FALSE,"HP Spectre x360 14 (i7, 16GB, 1TB) | Shak Distributors",Convertible 2-in-1 with OLED touch display and premium build.,active
lenovo-thinkpad-x1-carbon-g11,Lenovo ThinkPad X1 Carbon G11,"<p>Lightweight business flagship, MIL-SPEC tested and trade-favourite.</p><table><tbody><tr><th>Display</th><td>14"" WUXGA IPS</td></tr><tr><th>CPU</th><td>Intel Core i7</td></tr><tr><th>Memory</th><td>16GB</td></tr><tr><th>Storage</th><td>512GB SSD</td></tr><tr><th>Weight</th><td>1.12kg</td></tr><tr><th>OS</th><td>Windows 11 Pro</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;1,499.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;1,329.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Lenovo,Laptop,"Laptops, Lenovo, Laptop",TRUE,Title,Default Title,SHK-L-031,shopify,25,deny,manual,1499.00,1649.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Lenovo+ThinkPad+X1+Carbon+G11,Lenovo ThinkPad X1 Carbon G11,FALSE,Lenovo ThinkPad X1 Carbon G11 | Shak Distributors,"Lightweight business flagship, MIL-SPEC tested and trade-favourite.",active
asus-zenbook-14-oled-i5-16gb-512gb,"ASUS Zenbook 14 OLED (i5, 16GB, 512GB)","<p>Affordable OLED ultrabook with great battery and slim profile.</p><table><tbody><tr><th>Display</th><td>14"" 2.8K OLED 90Hz</td></tr><tr><th>CPU</th><td>Intel Core i5</td></tr><tr><th>Memory</th><td>16GB</td></tr><tr><th>Storage</th><td>512GB SSD</td></tr><tr><th>Weight</th><td>1.28kg</td></tr><tr><th>OS</th><td>Windows 11</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;849.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;749.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",ASUS,Laptop,"Laptops, ASUS, Laptop",TRUE,Title,Default Title,SHK-L-032,shopify,25,deny,manual,849.00,949.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=ASUS+Zenbook+14+OLED+%28i5%2C+16GB%2C+512GB%29,"ASUS Zenbook 14 OLED (i5, 16GB, 512GB)",FALSE,"ASUS Zenbook 14 OLED (i5, 16GB, 512GB) | Shak Distributors",Affordable OLED ultrabook with great battery and slim profile.,active
airpods-pro-2nd-gen-usb-c,AirPods Pro (2nd gen) USB-C,"<p>Active Noise Cancellation, Adaptive Audio and USB-C charging case.</p><table><tbody><tr><th>Type</th><td>In-ear ANC earbuds</td></tr><tr><th>Chip</th><td>Apple H2</td></tr><tr><th>Case</th><td>USB-C MagSafe</td></tr><tr><th>Battery</th><td>Up to 6h (30h w/ case)</td></tr><tr><th>Water</th><td>IP54</td></tr><tr><th>Extras</th><td>Adaptive Audio</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;229.00 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;199.00 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Apple,Audio,"Accessories, Apple, Audio",TRUE,Title,Default Title,SHK-A-033,shopify,25,deny,manual,229.00,249.00,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=AirPods+Pro+%282nd+gen%29+USB-C,AirPods Pro (2nd gen) USB-C,FALSE,AirPods Pro (2nd gen) USB-C | Shak Distributors,"Active Noise Cancellation, Adaptive Audio and USB-C charging case.",active
samsung-25w-usb-c-fast-charger,Samsung 25W USB-C Fast Charger,"<p>Genuine Samsung Super Fast Charging adapter — high-volume seller.</p><table><tbody><tr><th>Output</th><td>25W USB-C PD PPS</td></tr><tr><th>Type</th><td>Mains adapter</td></tr><tr><th>Compatibility</th><td>Galaxy & USB-C PD devices</td></tr><tr><th>Safety</th><td>Over-current protection</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;19.99 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;12.50 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Samsung,Charger,"Accessories, Samsung, Charger",TRUE,Title,Default Title,SHK-A-034,shopify,25,deny,manual,19.99,24.99,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Samsung+25W+USB-C+Fast+Charger,Samsung 25W USB-C Fast Charger,FALSE,Samsung 25W USB-C Fast Charger | Shak Distributors,Genuine Samsung Super Fast Charging adapter — high-volume seller.,active
anker-20000mah-power-bank-225w,"Anker 20,000mAh Power Bank 22.5W","<p>High-capacity power bank that charges phones and tablets fast.</p><table><tbody><tr><th>Capacity</th><td>20,000mAh</td></tr><tr><th>Output</th><td>22.5W USB-C + USB-A</td></tr><tr><th>Recharge</th><td>USB-C in</td></tr><tr><th>Display</th><td>LED battery indicator</td></tr><tr><th>Safety</th><td>MultiProtect</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;39.99 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;27.50 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Anker,Power Bank,"Accessories, Anker, Power Bank",TRUE,Title,Default Title,SHK-A-035,shopify,25,deny,manual,39.99,49.99,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Anker+20%2C000mAh+Power+Bank+22.5W,"Anker 20,000mAh Power Bank 22.5W",FALSE,"Anker 20,000mAh Power Bank 22.5W | Shak Distributors",High-capacity power bank that charges phones and tablets fast.,active
braided-usb-c-to-usb-c-cable-2m,Braided USB-C to USB-C Cable 2m,"<p>Durable 100W braided charging cable — perfect add-on / bulk buy.</p><table><tbody><tr><th>Length</th><td>2m</td></tr><tr><th>Rating</th><td>100W / 5A</td></tr><tr><th>Data</th><td>480Mbps USB 2.0</td></tr><tr><th>Build</th><td>Nylon braided</td></tr><tr><th>Connector</th><td>USB-C to USB-C</td></tr></tbody></table><h3>Pricing</h3><ul><li><strong>Retail price:</strong> &pound;9.99 inc. VAT</li><li><strong>Wholesale / trade price:</strong> &pound;4.50 (minimum order quantities apply)</li></ul><p><em>Dispatched in 1 working day. Choose 48-hour express or 3&ndash;5 working day delivery at checkout. Trade customers: <a href=""/pages/contact"">contact us</a> for tiered pricing and a live stock list.</em></p>",Shak Distributors,Cable,"Accessories, Shak Distributors, Cable",TRUE,Title,Default Title,SHK-A-036,shopify,25,deny,manual,9.99,14.99,TRUE,TRUE,https://placehold.co/800x800/f1f5f9/0f172a/png?text=Braided+USB-C+to+USB-C+Cable+2m,Braided USB-C to USB-C Cable 2m,FALSE,Braided USB-C to USB-C Cable 2m | Shak Distributors,Durable 100W braided charging cable — perfect add-on / bulk buy.,active
